"","shannon","simpson"
"X3522_S82_profile",3.37368485109034,0.938395479014531
"X3520_S81_profile",3.07670103051126,0.926921508797555
"X3485_S80_profile",3.50803236397833,0.945368157397206
"X3265_S116_profile",3.09948559340262,0.922355670226403
"X3173_S157_profile",3.37095074349759,0.940463026824834
"X3141_S156_profile",3.03011299973097,0.916526306967198
"X3132_S10_profile",3.5229294783512,0.946230234840543
"X3037_S79_profile",3.19067970868048,0.928395462238685
"X2980_S54_profile",3.55428123607748,0.947109719663618
"X2855_S78_profile",3.69276209958239,0.953305016432646
"X277_S1_profile",3.53207775982498,0.943612213324789
"X2594_S155_profile",3.48626609858034,0.94431607389815
"X2487_S53_profile",2.93353953629135,0.918537540246
"X2437_S52_profile",3.35447722043674,0.941039194087886
"X2381_S154_profile",3.5127364075501,0.944780514214558
"X2309_S184_profile",3.33692585523286,0.93719087827689
"X2204_S77_profile",3.44205177344478,0.941967596574629
"X2161_S51_profile",3.54633646346321,0.943301309498399
"X207_S38_profile",3.38801524721726,0.940551498015646
"X2024_S50_profile",3.24026747018457,0.935946054807995
"X1997_S76_profile",3.14843608898514,0.929418418899134
"X1937_S9_profile",2.99620500975263,0.920552013116719
"X1884_S75_profile",3.21408594791115,0.928665952706623
"X1835_S8_profile",3.59835158189194,0.947535747338877
"X1734_S7_profile",3.44930475014019,0.943126041204903
"X1706_S6_profile",2.60476077806446,0.895902511577945
"X1697_S74_profile",3.42764810523986,0.939693236731604
"X16894_S248_profile",2.70292932226119,0.901310693020732
"X16770_S144_profile",3.11239822736228,0.924752751288993
"X16560_S143_profile",2.83435820549672,0.907117859091084
"X16484_S142_profile",3.61014263778575,0.948607393045021
"X16463_S141_profile",3.6043873291565,0.94828972851819
"X16383_S179_profile",3.23396610577121,0.937926490158907
"X16382_S247_profile",2.68278334164055,0.901011005221739
"X16319_S178_profile",3.24879924751448,0.931055583503222
"X16139_S246_profile",2.96737739562689,0.917942023445964
"X16092_S177_profile",3.19757150695063,0.93171524090113
"X16045_S107_profile",3.46854827489116,0.943302237026999
"X15925_S140_profile",3.39983423972777,0.942133302534825
"X15898_S139_profile",3.38998584043313,0.940383237664314
"X15888_S214_profile",3.34860310024271,0.940823335895884
"X15690_S213_profile",3.70674871985105,0.95419754018009
"X15580_S245_profile",3.42594137165294,0.940716378729953
"X15565_S244_profile",3.30129674869133,0.934536091647961
"X1537_S49_profile",3.53729714822628,0.944078035800403
"X15158_S138_profile",3.51498936776378,0.94910529869165
"X15144_S106_profile",3.28609908054905,0.939986919323668
"X15076_S105_profile",3.71694815187444,0.955601802162397
"X1502_S153_profile",3.20791875294881,0.932952586029235
"X14883_S243_profile",3.50819398749386,0.944859258632819
"X14844_S137_profile",3.49411471095591,0.944106392217255
"X14839_S242_profile",3.80751859194728,0.9532128914666
"X14816_S104_profile",3.31946476890526,0.937920980321367
